fast,slow,atr_sl_mult,atr_tp_mult,sharpe_nocost,sharpe_costs,sharpe_delta,rank_nocost,rank_costs,rank_delta,total_return_nocost,total_return_costs,cagr_nocost,cagr_costs,max_drawdown_nocost,max_drawdown_costs,trades_nocost,trades_costs
5,21,0.9,1.6,-0.0177708531276059,-4.418421528723027,-4.400650675595421,104.0,118.0,14.0,-7.574642857177682e-05,-0.016347180559901,-7.574642857177682e-05,-0.016347180559901,-0.0045140671306661,-0.0173968222797958,58,58
5,21,0.9,1.8,-0.6565779024917306,-4.580243432760131,-3.9236655302684005,113.0,120.0,7.0,-0.0025128499999995,-0.0187830657257702,-0.0025128499999995,-0.0187830657257702,-0.0080134297035306,-0.0201585466168018,58,58
5,21,0.9,2.0,-0.608558102275949,-4.281675155063611,-3.6731170527876618,112.0,116.0,4.0,-0.002472792857143,-0.0187430286090808,-0.002472792857143,-0.0187430286090808,-0.0085305120849934,-0.0204467974513861,58,58
5,21,1.0,1.6,1.0351577371595135,-3.308682628741682,-4.343840365901196,64.0,103.0,39.0,0.0036564999999999,-0.0126168000306092,0.0036564999999999,-0.0126168000306092,-0.0044214183842385,-0.0162026264103132,58,58
5,21,1.0,1.8,0.3470117826281471,-3.423275799022032,-3.770287581650179,95.0,105.0,10.0,0.0014025928571428,-0.0148695803551297,0.0014025928571428,-0.0148695803551297,-0.0080909053224315,-0.0189767023315952,58,58
5,21,1.0,2.0,0.4181943509190818,-3.141065200492632,-3.559259551411714,91.0,102.0,11.0,0.0017869642857142,-0.01448540108921,0.0017869642857142,-0.01448540108921,-0.007761523756618,-0.0191232369914605,58,58
5,34,0.9,1.6,-0.2320931816129514,-3.5325961034983067,-3.3005029218853554,107.0,107.0,0.0,-0.0008267714285715,-0.0131802555924633,-0.0008267714285715,-0.0131802555924633,-0.0076685637225639,-0.0148716080244908,44,44
5,34,0.9,1.8,0.19022050114958,-3.005985705704091,-3.196206206853671,100.0,99.0,-1.0,0.0006692785714286,-0.0116849535277002,0.0006692785714286,-0.0116849535277002,-0.0076584196751032,-0.014042370347339,44,44
5,34,0.9,2.0,0.5687253618702857,-2.445835039419483,-3.014560401289769,86.0,92.0,6.0,0.0021653285714282,-0.0101896514629371,0.0021653285714282,-0.0101896514629371,-0.0076483024294699,-0.013242026338192,44,44
5,34,1.0,1.6,-1.451761101773547,-4.501326039791071,-3.0495649380175234,120.0,119.0,-1.0,-0.0048705500000002,-0.0166601780172329,-0.0048705500000002,-0.0166601780172329,-0.0085472270724055,-0.0180309287354534,42,42
5,34,1.0,1.8,-1.0923157669522814,-4.101257926073581,-3.0089421591212995,119.0,113.0,-6.0,-0.0037102214285711,-0.0155004295404702,-0.0037102214285711,-0.0155004295404702,-0.0085387398880649,-0.0171501999537067,42,42
5,34,1.0,2.0,-0.6967064081490835,-3.577324034895596,-2.8806176267465124,115.0,108.0,-7.0,-0.0025498928571431,-0.0143406810637073,-0.0025498928571431,-0.0143406810637073,-0.0085302695421312,-0.0163531422211679,42,42
5,55,0.9,1.6,1.9437016381693388,-1.2918641517370812,-3.23556578990642,13.0,48.0,35.0,0.0063288214285712,-0.0043482861024138,0.0063288214285712,-0.0043482861024138,-0.0063928104794692,-0.0102658916538712,38,38
5,55,0.9,1.8,1.7100645974968087,-1.2512175711254676,-2.9612821686222763,26.0,45.0,19.0,0.0060631071428569,-0.0046138675469273,0.0060631071428569,-0.0046138675469273,-0.0080001278447326,-0.0121985172536939,38,38
5,55,0.9,2.0,1.3360407994523438,-1.3941690086902572,-2.730209808142601,46.0,51.0,5.0,0.0050593571428569,-0.0056171157321526,0.0050593571428569,-0.0056171157321526,-0.0080080535682929,-0.0122106742452754,38,38
5,55,1.0,1.6,1.6314918637196876,-1.550583362874384,-3.1820752265940717,28.0,58.0,30.0,0.0053809571428571,-0.0052956765128567,0.0053809571428571,-0.0052956765128567,-0.0069851910394244,-0.0109660843796322,38,38
5,55,1.0,1.8,1.4030640463498838,-1.5078246063587877,-2.9108886527086715,40.0,57.0,17.0,0.0050366071428571,-0.0056398543585173,0.0050366071428571,-0.0056398543585173,-0.0087720129398798,-0.0129760167889432,38,38
5,55,1.0,2.0,1.0541133108690257,-1.6293473134677616,-2.6834606243367873,63.0,65.0,2.0,0.0040328571428571,-0.006643102543742,0.0040328571428571,-0.006643102543742,-0.0087807054787966,-0.0129889517904582,38,38
5,89,0.9,1.6,0.5499431675867082,-2.126392452527489,-2.6763356201141972,88.0,83.0,-5.0,0.0016735892857142,-0.0067491134085125,0.0016735892857142,-0.0067491134085125,-0.0040392793058482,-0.0093081920529863,30,30
5,89,0.9,1.8,0.8956387120143079,-1.642958513679933,-2.538597225694241,71.0,66.0,-5.0,0.0029152107142857,-0.0055081127161583,0.0029152107142857,-0.0055081127161583,-0.0040361875994382,-0.0089778600007834,30,30
5,89,0.9,2.0,1.2439833851961226,-1.2158324882912128,-2.4598158734873357,51.0,42.0,-9.0,0.0041568321428571,-0.0042671120238035,0.0041568321428571,-0.0042671120238035,-0.004033100622257,-0.0086480343972489,30,30
5,89,1.0,1.6,1.9778682732301165,-0.3570995775994918,-2.3349678508296083,11.0,15.0,4.0,0.0071023000000001,-0.0013231167238616,0.0071023000000001,-0.0013231167238616,-0.0039508219827876,-0.006406048320684,30,30
5,89,1.0,1.8,2.270056275395933,0.107194106362047,-2.162862169033886,4.0,8.0,4.0,0.008824757142857,0.0003984792937714,0.008824757142857,0.0003984792937714,-0.0039469978122864,-0.0059411736210345,30,30
