ts_ist,mode,tradingsymbol,side,variety,ordertype,qty,limit_price,trigger_price,order_id,note,ordertag
2025-08-24 16:56:31,DRY,BANKNIFTY28AUG2555100PE,BUY,NORMAL,LIMIT,35,163.88,,,attached_target_preview,OCO-BANKNIFTY28AUG2555100PE-0b7b88e6
2025-08-24 16:56:49,DRY,RELIANCE-EQ,BUY,NORMAL,MARKET,1,0,,,preview_primary,
2025-08-24 16:57:02,DRY,BANKNIFTY28AUG2555100CE,SELL,NORMAL,LIMIT,35,383.11,,,preview_primary,OCO-BANKNIFTY28AUG2555100CE-b253ed5d
2025-08-24 16:57:02,DRY,BANKNIFTY28AUG2555100CE,BUY,NORMAL,STOPLOSS_LIMIT,35,496.55,495.56,,attached_stop_preview,OCO-BANKNIFTY28AUG2555100CE-b253ed5d
2025-08-24 16:57:02,DRY,BANKNIFTY28AUG2555100CE,BUY,NORMAL,LIMIT,35,304.96,,,attached_target_preview,OCO-BANKNIFTY28AUG2555100CE-b253ed5d
2025-08-24 16:57:02,DRY,BANKNIFTY28AUG2555100PE,SELL,NORMAL,LIMIT,35,205.87,,,preview_primary,OCO-BANKNIFTY28AUG2555100PE-cec49d1c
2025-08-24 16:57:02,DRY,BANKNIFTY28AUG2555100PE,BUY,NORMAL,STOPLOSS_LIMIT,35,266.84,266.31,,attached_stop_preview,OCO-BANKNIFTY28AUG2555100PE-cec49d1c
2025-08-24 16:57:02,DRY,BANKNIFTY28AUG2555100PE,BUY,NORMAL,LIMIT,35,163.88,,,attached_target_preview,OCO-BANKNIFTY28AUG2555100PE-cec49d1c
2025-08-24 17:02:14,DRY,NIFTY28AUG2524850CE,SELL,NORMAL,LIMIT,75,143.16,,,preview_primary,OCO-NIFTY28AUG2524850CE-aa30394b
2025-08-24 17:02:14,DRY,NIFTY28AUG2524850CE,BUY,NORMAL,STOPLOSS_LIMIT,75,185.56,185.19,,attached_stop_preview,OCO-NIFTY28AUG2524850CE-aa30394b
2025-08-24 17:02:14,DRY,NIFTY28AUG2524850CE,BUY,NORMAL,LIMIT,75,113.96,,,attached_target_preview,OCO-NIFTY28AUG2524850CE-aa30394b
2025-08-24 17:02:14,DRY,NIFTY28AUG2524850PE,SELL,NORMAL,LIMIT,75,91.51,,,preview_primary,OCO-NIFTY28AUG2524850PE-1a733b6e
2025-08-24 17:02:14,DRY,NIFTY28AUG2524850PE,BUY,NORMAL,STOPLOSS_LIMIT,75,118.60,118.36,,attached_stop_preview,OCO-NIFTY28AUG2524850PE-1a733b6e
2025-08-24 17:02:14,DRY,NIFTY28AUG2524850PE,BUY,NORMAL,LIMIT,75,72.84,,,attached_target_preview,OCO-NIFTY28AUG2524850PE-1a733b6e
2025-08-24 17:02:15,DRY,NIFTY28AUG2525000CE,BUY,NORMAL,LIMIT,75,71.14,,,preview_primary,
2025-08-24 17:02:15,DRY,NIFTY28AUG2524700PE,BUY,NORMAL,LIMIT,75,44.97,,,preview_primary,
2025-08-24 20:05:34,DRY,BANKNIFTY28AUG2555100CE,SELL,LIMIT,35,383.11,,,preview_primary,
2025-08-24 20:05:34,DRY,BANKNIFTY28AUG2555100CE,BUY,STOPLOSS_LIMIT,35,499.04,498.04,,preview_stop,
2025-08-24 20:05:34,DRY,BANKNIFTY28AUG2555100CE,BUY,LIMIT,35,306.49,,,preview_target,
2025-08-24 20:05:34,DRY,BANKNIFTY28AUG2555100PE,SELL,LIMIT,35,205.87,,,preview_primary,
2025-08-24 20:05:34,DRY,BANKNIFTY28AUG2555100PE,BUY,STOPLOSS_LIMIT,35,268.17,267.63,,preview_stop,
2025-08-24 20:05:34,DRY,BANKNIFTY28AUG2555100PE,BUY,LIMIT,35,164.7,,,preview_target,
