sharpe,total_return,cagr,max_drawdown,trades,strategy,timeframe,fill,allow_short,session,cooldown_bars,fixed_qty,atr_n,atr_sl_mult,atr_tp_mult,fee_bps,slip_bps,fast,slow
1.5481967250270436,0.00519446428571424,0.00519446428571424,-0.003131757156778936,30,ema_crossover,15min,close,False,10:00-14:45,8,1,14,1.0,2.0,0.0,0.0,11,55
1.513866321338319,0.005405621428571372,0.005405621428571372,-0.007149422481273593,36,ema_crossover,15min,close,False,10:00-14:45,8,1,14,1.0,1.8,0.0,0.0,9,34
1.4865210615086182,0.0057800857142855655,0.0057800857142855655,-0.00780436241853355,36,ema_crossover,15min,close,False,10:00-14:45,8,1,14,1.0,1.8,0.0,0.0,7,55
1.4727898922786535,0.004845574999999602,0.004845574999999602,-0.004288555909250258,26,ema_crossover,15min,close,False,10:00-14:45,8,1,14,0.9,1.8,0.0,0.0,7,89
1.472578654765945,0.005218678571428548,0.005218678571428548,-0.004960293330738996,30,ema_crossover,15min,close,False,10:00-14:45,8,1,14,1.0,2.0,0.0,0.0,13,34
1.46086393315895,0.005449942857142842,0.005449942857142842,-0.00760653143174872,36,ema_crossover,15min,close,False,10:00-14:45,8,1,14,1.0,1.8,0.0,0.0,9,55
1.4500503841858507,0.004696771428571056,0.004696771428571056,-0.006442527533498721,36,ema_crossover,15min,close,False,10:00-14:45,8,1,14,0.9,1.6,0.0,0.0,9,34
1.4307333715570416,0.004134103571428183,0.004134103571428183,-0.0032999988275976833,26,ema_crossover,15min,close,False,10:00-14:45,8,1,14,0.9,1.6,0.0,0.0,13,55
1.4136092046597846,0.004550117857142988,0.004550117857142988,-0.0054281620934867325,36,ema_crossover,15min,close,False,10:00-14:45,8,1,14,0.9,1.6,0.0,0.0,7,55
1.4030640463498838,0.005036607142857141,0.005036607142857141,-0.008772012939879836,38,ema_crossover,15min,close,False,10:00-14:45,8,1,14,1.0,1.8,0.0,0.0,5,55
1.3859358470117762,0.005398892857143123,0.005398892857143123,-0.004416352358397435,46,ema_crossover,15min,close,False,10:00-14:45,8,1,14,1.0,2.0,0.0,0.0,7,21
1.3646775608809552,0.004696810714285737,0.004696810714285737,-0.004470934672711646,30,ema_crossover,15min,close,False,10:00-14:45,8,1,14,0.9,1.8,0.0,0.0,13,34
1.3487460393394342,0.0047234999999996585,0.0047234999999996585,-0.005540262128303053,32,ema_crossover,15min,close,False,10:00-14:45,8,1,14,0.9,2.0,0.0,0.0,11,34
1.3484382140902278,0.0047525499999998555,0.0047525499999998555,-0.006442639105723291,38,ema_crossover,15min,close,False,10:00-14:45,8,1,14,0.9,2.0,0.0,0.0,7,34
1.3365781491643314,0.004898314285714411,0.004898314285714411,-0.007150791944574353,38,ema_crossover,15min,close,False,10:00-14:45,8,1,14,1.0,1.8,0.0,0.0,7,34
